DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,0.0,-16.852390416069873,-10.73689132880204,0.06,1.8282582900729132,4.584108797706492,
20150102,0.0,-17.607126707311245,-11.164635995881216,0.06,1.7275035007981396,4.270901762290704,
20150103,0.0,-17.78876627912282,-10.895118289096956,0.06,1.7753478425013574,4.633548225234187,
20150104,0.0,-17.85336607627893,-11.357321107832847,0.06,1.755569582886341,4.824135966123904,
20150105,0.0,-18.050314412733506,-10.344200515657693,0.06,1.7108114946256645,4.533483658736955,
20150106,0.0,-17.940082428132325,-11.065392859010489,0.06,1.6984319833920087,4.474498580098251,
20150107,0.0,-18.374124525440333,-10.738608153555717,0.06,1.724958810454748,4.439509839920821,
20150108,0.0,-18.374649421322168,-10.975267240983502,0.06,1.7038960700857966,4.430794129539525,
20150109,0.0,-18.061035111985678,-11.548896520935015,0.06,1.9255606832842558,4.352984104116047,
20150110,0.0,-18.429264114922443,-11.687395390018096,0.06,1.6204484519450175,4.297944138986239,
20150111,0.0,-18.44401132951667,-11.468339136876464,0.06,1.6991243589944265,4.2964721894624125,
20150112,0.0,-18.738002206463843,-11.65630044455513,0.06,1.7088861152824886,4.420782851013999,
20150113,0.0,-19.27581791811349,-11.997169328738293,0.06,1.7285507378693592,4.474036411407062,
20150114,0.0,-19.035406363529027,-11.502844053535554,0.06,1.9421201082155517,4.382477555807518,
20150115,0.0,-18.87538860817184,-11.775512291351767,0.06,1.8188757080464808,4.576796604425279,
20150116,0.0,-19.48109866312782,-11.821774400665538,0.06,2.012531344226397,4.2596325369565715,
20150117,0.0,-19.494490547431237,-11.912409884357407,0.06,2.003980093127648,4.541424813498081,
20150118,0.0,-19.222406567320448,-12.359893585871983,0.06,2.0327595656518764,4.24832949403707,
20150119,0.0,-19.72891601474814,-12.426125279258713,0.06,2.06867220702221,4.303966476535834,
20150120,0.0,-19.792688111601013,-12.407499152200108,0.06,2.0581246518160663,4.5060646866397684,
20150121,0.0,-20.046461531471465,-11.786136352183414,0.06,2.165693818956497,4.17708874662522,
20150122,0.0,-19.894899915938,-12.951092019305039,0.06,2.302052430066265,4.485434259880631,
20150123,5.8150364173782245,-20.387436827122173,-12.624614289611205,0.06,2.272682238223158,4.3438877079376095,
20150124,157.33074919017463,-20.13502973112887,-12.250894184814891,0.06,2.279357213795995,4.470399198213809,
20150125,0.0,-20.21100858902581,-12.590752079815669,0.06,2.3731144421556425,4.549159619333487,
20150126,115.22539128398672,-20.336780057939905,-12.696785333174152,0.06,2.1841257797574882,4.377836984046519,
20150127,0.0,-20.38344717600345,-12.478370582711225,0.06,2.3743045738441966,4.394073964876027,
20150128,166.02436321718255,-20.655056572543174,-12.49575325933464,0.06,2.3260039725782504,4.197780464263299,
20150129,102.71645336395865,-20.68283813148855,-12.62542904209982,0.06,2.4812854724558657,4.5564318017447105,
20150130,0.0,-19.682441057223546,-12.841040538414994,0.06,2.5381273828952846,4.20288500926514,
20150131,272.0700859250642,-20.05043782553261,-12.919753292358624,0.06,2.6576050176782715,4.4196097048650635,
20150201,89.25627510620916,-20.79820541548694,-12.378542753167205,0.06,2.601549973560788,4.505779483908522,
20150202,621.9832751106785,-20.767475212496453,-12.710876581675372,0.06,2.4691401915211957,4.56775093757143,
20150203,794.4817033881445,-19.964048561729733,-12.256963743247624,0.06,2.4634959083941212,4.573430319599914,
20150204,641.656767201237,-19.862223467797225,-12.369116904980292,0.06,2.5963722861881253,4.4690706612726885,
