DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,2808.9975611410905,-7.134090180206598,-10.73689132880204,0.06,1.8282582900729132,4.584108797706492,
20150102,2600.870633738688,-7.1691531478119295,-11.164635995881216,0.06,1.7275035007981396,4.270901762290704,
20150103,2641.293990218614,-7.52985811529283,-10.895118289096956,0.06,1.7753478425013574,4.633548225234187,
20150104,2690.5768390937037,-7.759485971110264,-11.357321107832847,0.06,1.755569582886341,4.824135966123904,
20150105,2666.6678930134462,-7.686107640745343,-10.344200515657693,0.06,1.7108114946256645,4.533483658736955,
20150106,2794.9030366661877,-7.8313716701700535,-11.065392859010489,0.06,1.6984319833920087,4.474498580098251,
20150107,3528.057214492453,-8.00414340717133,-10.738608153555717,0.06,1.724958810454748,4.439509839920821,
20150108,3074.8388875130718,-8.119914084954136,-10.975267240983502,0.06,1.7038960700857966,4.430794129539525,
20150109,2974.1972483322197,-8.061373282495342,-11.548896520935015,0.06,1.9255606832842558,4.352984104116047,
20150110,3381.000609449252,-8.369826007572437,-11.687395390018096,0.06,1.6204484519450175,4.297944138986239,
20150111,3102.181249621844,-8.514825721605114,-11.468339136876464,0.06,1.6991243589944265,4.2964721894624125,
20150112,3556.4557736606985,-8.430087826132612,-11.65630044455513,0.06,1.7088861152824886,4.420782851013999,
20150113,3932.7043716419907,-9.306656891817225,-11.997169328738293,0.06,1.7285507378693592,4.474036411407062,
20150114,4073.650699279024,-8.851304663043445,-11.502844053535554,0.06,1.9421201082155517,4.382477555807518,
20150115,3955.019677254111,-9.184684884693741,-11.775512291351767,0.06,1.8188757080464808,4.576796604425279,
20150116,3869.840052609341,-8.843408732988088,-11.821774400665538,0.06,2.012531344226397,4.2596325369565715,
20150117,3550.0882850720286,-9.494023074153297,-11.912409884357407,0.06,2.003980093127648,4.541424813498081,
20150118,3738.8232796349257,-9.324236087025936,-12.359893585871983,0.06,2.0327595656518764,4.24832949403707,
20150119,3737.0890286291424,-9.892337147709624,-12.426125279258713,0.06,2.06867220702221,4.303966476535834,
20150120,3858.2394438805895,-9.452246933208086,-12.407499152200108,0.06,2.0581246518160663,4.5060646866397684,
20150121,4278.225253125333,-9.693383773368877,-11.786136352183414,0.06,2.165693818956497,4.17708874662522,
20150122,4043.090329801143,-9.558679270214048,-12.951092019305039,0.06,2.302052430066265,4.485434259880631,
20150123,4242.130079342472,-10.374038743065011,-12.624614289611205,0.06,2.272682238223158,4.3438877079376095,
20150124,4310.51360867346,-9.836990806161367,-12.250894184814891,0.06,2.279357213795995,4.470399198213809,
20150125,4118.415919121519,-10.201955679394217,-12.590752079815669,0.06,2.3731144421556425,4.549159619333487,
20150126,4204.635100671256,-10.080562326806136,-12.696785333174152,0.06,2.1841257797574882,4.377836984046519,
20150127,4434.912198340234,-10.385253757972503,-12.478370582711225,0.06,2.3743045738441966,4.394073964876027,
20150128,4434.807707058846,-10.452887416148684,-12.49575325933464,0.06,2.3260039725782504,4.197780464263299,
20150129,4597.127082065986,-10.547309656672427,-12.62542904209982,0.06,2.4812854724558657,4.5564318017447105,
20150130,4438.1955317118345,-10.144722794700575,-12.841040538414994,0.06,2.5381273828952846,4.20288500926514,
20150131,4529.157027894041,-9.942080551048251,-12.919753292358624,0.06,2.6576050176782715,4.4196097048650635,
20150201,4498.326817512163,-10.164377034765623,-12.378542753167205,0.06,2.601549973560788,4.505779483908522,
20150202,4870.985700340141,-10.252253827112538,-12.710876581675372,0.06,2.4691401915211957,4.56775093757143,
20150203,5119.356269869802,-9.911750301990592,-12.256963743247624,0.06,2.4634959083941212,4.573430319599914,
20150204,4940.499413489427,-9.864268282096052,-12.369116904980292,0.06,2.5963722861881253,4.4690706612726885,
20150205,5052.383051579354,-9.840557970234345,-12.090294042294257,0.06,2.6205012177061726,4.464768704320085,
20150206,5283.115530283078,-9.932670613088813,-12.248168853272569,0.06,2.4393768826575153,4.576593151450672,
20150207,5282.738150818697,-9.840351301335136,-12.133671688291084,0.06,2.4211805966976088,4.498390583837022,
20150208,5384.480930688648,-9.951282740097646,-11.599135685437851,0.06,2.4137603516698984,4.7697601702335115,
20150209,5656.089306057715,-9.159350123866322,-11.286554011782705,0.06,2.429788599074524,4.273286084033891,
20150210,5996.402348051706,-9.7290083409878,-11.495350592397475,0.06,2.423306035522828,4.50152138423791,
20150211,6263.581045814121,-9.467172754204814,-11.500958096797055,0.06,2.29233817900164,4.36326622334417,
20150212,6196.19307554529,-9.073278010808641,-11.206157378525912,0.06,2.3489093600926823,4.358901679756261,
20150213,6480.512715534921,-9.017939160035798,-11.3328161207854,0.06,2.3818837988251005,4.149515911392868,
20150214,6533.606537675288,-8.919767881037638,-11.020160678238337,0.06,2.1926992490267736,4.608893599889487,
20150215,6913.676674403345,-9.024980702579823,-10.707856054261018,0.06,2.11240927252464,4.6175989481001105,
20150216,6986.199453110695,-8.628023449484125,-10.472547680961274,0.06,2.305745523495268,4.350849689489916,
20150217,7390.81242513167,-8.289608904881513,-10.050835680481033,0.06,2.090338436391666,4.368742933181355,
